"","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
"1",608369,"Seager, Corey",0.278,0.25,0.35,0.286,-0.028,0.072,0.00799999999999995
"2",670764,"Walls, Taylor",0.148,0.1,0.133,0.143,-0.048,-0.015,-0.005
"3",669701,"Smith, Josh",0.276,0.083,0.19,0.172,-0.193,-0.086,-0.104
"4",678882,"Rafaela, Ceddanne",0.256,0.182,0.316,0.32,-0.074,0.06,0.064
"5",677649,"Duran, Ezequiel",0.249,0.222,0.143,0.143,-0.027,-0.106,-0.106
"6",650391,"Jiménez, Eloy",0.253,0.545,0.5,0.45,0.292,0.247,0.197
"7",676356,"DeLuca, Jonny",0.188,0.333,0.294,0.273,0.145,0.106,0.085
"8",660821,"Sánchez, Jesús",0.241,0.083,0.25,0.222,-0.158,0.00900000000000001,-0.019
"9",656716,"McKinstry, Zach",0.183,0.333,0.214,0.158,0.15,0.031,-0.025
"10",543257,"Grossman, Robbie",0.234,0,0.143,0.267,-0.234,-0.091,0.033
"11",693307,"Dingler, Dillon",0.231,0.2,0.231,0.231,-0.031,0,0
"12",669477,"Schmitt, Casey",0.188,0,0.062,0.091,-0.188,-0.126,-0.097
"13",672275,"Bailey, Patrick",0.253,0.083,0.05,0.107,-0.17,-0.203,-0.146
"14",663624,"Mountcastle, Ryan",0.272,0.3,0.167,0.154,0.028,-0.105,-0.118
"15",680869,"Gelof, Zack",0.192,0.222,0.125,0.174,0.03,-0.067,-0.018
"16",668939,"Rutschman, Adley",0.265,0.375,0.267,0.217,0.11,0.002,-0.048
"17",666152,"Hamilton, David",0.256,0.417,0.25,0.207,0.161,-0.00600000000000001,-0.049
"18",666163,"Rortvedt, Ben",0.252,0.083,0.176,0.167,-0.169,-0.076,-0.085
"19",678009,"Meadows, Parker",0.161,0.417,0.4,0.348,0.256,0.239,0.187
"20",672640,"Lopez, Otto",0.231,0.25,0.25,0.179,0.019,0.019,-0.052
"21",641680,"Heim, Jonah",0.23,0,0.133,0.174,-0.23,-0.097,-0.056
"22",592696,"Rosario, Eddie",0.175,0.091,0.062,0.095,-0.084,-0.113,-0.08
"23",668885,"Martin, Austin",0.233,0.111,0.25,0.182,-0.122,0.017,-0.051
"24",666464,"Encarnacion, Jerar",0.353,0.417,0.353,0.353,0.064,0,0
"25",686765,"Sogard, Nick",0.312,0.333,0.312,0.312,0.021,0,0
"26",624424,"Conforto, Michael",0.237,0.545,0.444,0.381,0.308,0.207,0.144
"27",676609,"Caballero, José",0.231,0.1,0.059,0.125,-0.131,-0.172,-0.106
"28",676632,"Madris, Bligh",0.342,0.4,0.4,0.333,0.058,0.058,-0.00900000000000001
"29",647351,"Toro, Abraham",0.248,0.167,0.158,0.16,-0.081,-0.09,-0.088
"30",642086,"Smith, Dominic",0.242,0.333,0.278,0.346,0.091,0.036,0.104
"31",592178,"Bryant, Kris",0.22,0.5,0.375,0.304,0.28,0.155,0.084
"32",666969,"García, Adolis",0.208,0.091,0.118,0.115,-0.117,-0.09,-0.093
"33",681624,"Pages, Andy",0.246,0.4,0.267,0.227,0.154,0.021,-0.019
"34",521692,"Perez, Salvador",0.28,0.2,0.3,0.357,-0.08,0.02,0.077
"35",641355,"Bellinger, Cody",0.273,0.182,0.158,0.286,-0.091,-0.115,0.013
"36",681146,"Bride, Jonah",0.258,0.333,0.235,0.28,0.075,-0.023,0.022
"37",657136,"Wong, Connor",0.302,0.286,0.375,0.344,-0.016,0.073,0.042
"38",650489,"Castro, Willi",0.263,0.273,0.3,0.222,0.01,0.037,-0.041
"39",656811,"O'Hearn, Ryan",0.271,0.286,0.167,0.158,0.015,-0.104,-0.113
"40",676475,"Burleson, Alec",0.273,0.091,0.105,0.154,-0.182,-0.168,-0.119
"41",518595,"d'Arnaud, Travis",0.26,0.273,0.278,0.28,0.013,0.018,0.02
"42",642350,"Siri, Jose",0.205,0.364,0.294,0.24,0.159,0.089,0.035
"43",592192,"Canha, Mark",0.238,0.333,0.25,0.238,0.095,0.012,0
"44",663898,"Rodgers, Brendan",0.272,0.455,0.421,0.333,0.183,0.149,0.061
"45",571448,"Arenado, Nolan",0.264,0.25,0.263,0.333,-0.014,-0.001,0.069
"46",664913,"Brown, Seth",0.213,0.182,0.167,0.125,-0.031,-0.046,-0.088
"47",669003,"Mitchell, Garrett",0.29,0.333,0.333,0.333,0.043,0.043,0.043
"48",663728,"Raleigh, Cal",0.213,0.125,0.143,0.167,-0.088,-0.07,-0.046
"49",502671,"Goldschmidt, Paul",0.229,0,0,0.192,-0.229,-0.229,-0.037
"50",669304,"Miranda, Jose",0.318,0.25,0.25,0.25,-0.068,-0.068,-0.068
"51",606115,"Arcia, Orlando",0.224,0,0.214,0.261,-0.224,-0.01,0.037
"52",669234,"Malloy, Justyn-Henry",0.211,0.154,0.211,0.222,-0.057,0,0.011
"53",575929,"Contreras, Willson",0.253,0.111,0.125,0.115,-0.142,-0.128,-0.138
"54",666139,"Lowe, Josh",0.23,0.333,0.375,0.32,0.103,0.145,0.09
"55",686469,"Pasquantino, Vinnie",0.268,0.417,0.381,0.387,0.149,0.113,0.119
"56",807799,"Yoshida, Masataka",0.279,0.462,0.286,0.286,0.183,0.00699999999999995,0.00699999999999995
"57",656305,"Chapman, Matt",0.244,0.231,0.286,0.259,-0.013,0.042,0.015
"58",694671,"Langford, Wyatt",0.24,0,0.059,0.192,-0.24,-0.181,-0.048
"59",668227,"Arozarena, Randy",0.217,0.167,0.167,0.24,-0.05,-0.05,0.023
"60",571771,"Hernández, Enrique",0.213,0.273,0.389,0.28,0.06,0.176,0.067
"61",677951,"Witt Jr., Bobby",0.343,0.286,0.217,0.3,-0.0570000000000001,-0.126,-0.043
"62",669127,"Langeliers, Shea",0.207,0,0.062,0.125,-0.207,-0.145,-0.082
"63",669394,"Burger, Jake",0.236,0.083,0.19,0.25,-0.153,-0.046,0.014
"64",641857,"McMahon, Ryan",0.252,0,0,0.095,-0.252,-0.252,-0.157
"65",645302,"Robles, Victor",0.301,0.2,0.333,0.296,-0.101,0.032,-0.005
"66",642708,"Rosario, Amed",0.303,0.125,0.143,0.2,-0.178,-0.16,-0.103
"67",683002,"Henderson, Gunnar",0.29,0.462,0.381,0.393,0.172,0.091,0.103
"68",656941,"Schwarber, Kyle",0.253,0.429,0.364,0.321,0.176,0.111,0.068
"69",664774,"Wade Jr., LaMonte",0.292,0.364,0.263,0.227,0.072,-0.029,-0.065
"70",623993,"Santander, Anthony",0.246,0.231,0.2,0.286,-0.015,-0.046,0.04
"71",667670,"Rooker, Brent",0.29,0.3,0.235,0.208,0.01,-0.055,-0.082
"72",673548,"Suzuki, Seiya",0.276,0.2,0.333,0.37,-0.076,0.057,0.094
"73",668904,"Lewis, Royce",0.274,0.273,0.294,0.25,-0.001,0.02,-0.024
"74",694192,"Chourio, Jackson",0.264,0.4,0.36,0.344,0.136,0.096,0.08
"75",686668,"Doyle, Brenton",0.266,0.167,0.143,0.148,-0.099,-0.123,-0.118
"76",683734,"Vaughn, Andrew",0.237,0.417,0.263,0.259,0.18,0.026,0.022
"77",686681,"Massey, Michael",0.255,0.3,0.312,0.261,0.045,0.057,0.00600000000000001
"78",677800,"Abreu, Wilyer",0.273,0.333,0.375,0.333,0.06,0.102,0.06
"79",669257,"Smith, Will",0.239,0.077,0.048,0.1,-0.162,-0.191,-0.139
"80",673962,"Jung, Josh",0.293,0.3,0.222,0.208,0.00700000000000001,-0.071,-0.085
"81",502054,"Pham, Tommy",0.276,0.25,0.263,0.37,-0.026,-0.013,0.094
"82",683737,"Busch, Michael",0.258,0.182,0.278,0.2,-0.076,0.02,-0.058
